Mode,NLC,ASC,Station,Coverage,Source,Weekday (Mon-Thu) - Entries,Friday - Entries,Saturday - Entries,Sunday - Entries,Weekday (Mon-Thu) - Exits,Firday - Exits,Saturday - Exits,Sunday - Exits,En/Ex
LU,832,BPSu,Battersea Power Station,Station entry / exit,Gateline,"5,262","5,337","4,518","3,109","4,911","5,016","4,369","2,905","2,177,911"
LO,1404,ACCr,Acton Central,Station entry / exit,Gateline,"2,486","2,487","1,969","1,333","2,432","2,294","1,805","1,315","1,167,174"
LO,5397,ANYr,Anerley,Station entry / exit,Scaled,"1,725","1,548","1,046","1,325","1,762","1,517",887,"1,471","821,918"
LO,514,BKGu,Barking,LO boarding / alighting,Scale_earlier,"4,192","4,847","3,675","2,709","4,259","4,390","3,165","2,463","2,081,131"
LO,5420,BAKr,Battersea Park,LO boarding / alighting,Loadweigh,20,23,0,10,14,13,0,0,"6,842"
LO,6961,BETr,Bethnal Green LO,Station entry / exit,Gateline,"2,054","2,089","1,660","1,282","2,228","2,312","1,859","1,373","1,047,192"
LO,522,BHRu,Blackhorse Road,LO boarding / alighting,Scaled,"2,947","2,945","2,757","1,659","3,357","3,327","3,234","1,882","1,550,700"
LO,5404,BCYr,Brockley,Station entry / exit,Gateline,"4,778","5,115","4,536","2,993","4,400","4,342","3,743","2,886","2,280,512"
LO,1437,BSYr,Brondesbury,Station entry / exit,Gateline,"3,896","4,101","3,406","2,054","3,705","3,746","2,971","1,943","1,838,214"
LO,1438,BSPr,Brondesbury Park,Station entry / exit,Scaled,"2,202","2,296","1,138",825,"2,172","2,246","1,115",928,"984,626"
LO,6958,BCVr,Bruce Grove,Station entry / exit,Manual Count,"3,116","2,720","2,113","2,224","2,698","2,561","1,829","1,752","1,378,067"
LO,6913,BHKr,Bush Hill Park,Station entry / exit,Scaled,"1,767","1,581","1,402",856,"1,489","1,278","1,033",760,"753,674"
LO,1395,BSHr,Bushey,LO boarding / alighting,Scaled,551,644,"1,190",469,989,608,"1,022",401,"396,594"
LO,1439,CIRr,Caledonian Road & Barnsbury,Station entry / exit,Manual Count,"2,678","3,209","2,290","1,351","2,806","3,278","2,176","1,475","1,350,071"
LO,6962,CBHr,Cambridge Heath,Station entry / exit,Manual Count,"1,806","1,756","1,471","1,240","1,805","1,871","1,514","1,235","889,589"
LO,1440,CMDr,Camden Road,Station entry / exit,Gateline,"5,650","5,743","5,293","3,384","5,772","6,066","5,723","3,585","2,853,286"
LO,788,CWRu,Canada Water,LO boarding / alighting,Scaled,"24,578","24,571","24,161","12,311","23,072","25,542","26,685","13,052","11,980,069"
LO,1441,CNNr,Canonbury,Station entry / exit,Gateline,"3,693","4,039","3,604","2,441","3,408","3,498","3,286","2,450","1,803,938"
LO,1442,CPKr,Carpenders Park,Station entry / exit,Gateline,"1,665","1,688","1,219",707,"1,632","1,626","1,138",718,"766,704"
LO,6814,CHNr,Cheshunt,LO boarding / alighting,Scaled,549,570,592,528,680,698,868,827,"340,289"
LO,6914,CHIr,Chingford,Station entry / exit,Gateline,"2,742","2,644","2,266","1,416","2,622","2,514","2,134","1,410","1,279,317"
LO,5301,CLPr,Clapham High Street,Station entry / exit,Manual Count,"2,272","2,601","2,277","1,492","2,426","3,001","2,650","1,769","1,231,647"
LO,5595,CLJr,Clapham Junction,LO boarding / alighting,Loadweigh,"21,190","21,132","22,223","18,492","18,674","18,320","20,588","15,935","10,438,622"
LO,6926,CPTr,Clapton,Station entry / exit,Scaled,"2,529","2,486","2,245","1,505","2,202","2,166","1,905","1,391","1,157,488"
LO,7406,CRHr,Crouch Hill,Station entry / exit,Scaled,"1,472","1,527","1,321",691,"1,526","1,579","1,339",785,"727,117"
LO,5356,CYPr,Crystal Palace,LO boarding / alighting,Loadweigh,"3,001","2,889","3,436","2,830","3,375","2,940","3,499","3,005","1,667,100"
LO,1443,DLJr,Dalston Junction,Station entry / exit,Gateline,"6,142","7,083","6,721","4,427","5,963","7,079","6,892","4,366","3,212,644"
LO,1429,DLKr,Dalston Kingsland,Station entry / exit,Gateline,"7,883","8,757","8,453","5,187","7,678","8,624","8,605","5,243","4,048,993"
LO,5421,DMKr,Denmark Hill,LO boarding / alighting,Scaled,"9,502","9,718","5,357","4,739","9,859","10,144","5,498","4,749","4,447,266"
LO,6941,EDRr,Edmonton Green,LO boarding / alighting,Scaled,"4,761","4,724","4,096","2,968","4,959","4,952","3,701","2,814","2,348,713"
LO,7473,EMPr,Emerson Park,Station entry / exit,Manual Count,519,479,257,102,340,329,162,102,"183,964"
LO,6959,ENFr,Enfield Town,Station entry / exit,Gateline,"3,163","3,199","2,324","1,874","2,886","2,829","1,921","1,684","1,437,473"
LO,1444,EUSr,Euston NR,LO boarding / alighting,Scale_earlier,"3,533","3,421","4,220","2,517","4,600","4,668","5,793","2,829","2,116,277"
LO,1445,FNYr,Finchley Road & Frognal,Station entry / exit,Scaled,"3,026","3,122","1,724","1,381","3,282","3,382","1,946","1,465","1,445,981"
LO,5362,FOHr,Forest Hill,LO boarding / alighting,Scaled,"3,329","3,421","3,123","2,408","3,428","3,527","3,050","2,455","1,701,565"
LO,1409,GPOr,Gospel Oak,Station entry / exit,Gateline,"3,776","3,916","3,069","2,219","3,563","3,610","2,736","2,124","1,777,739"
LO,591,GUNu,Gunnersbury,LO boarding / alighting,Scaled,"1,775","1,721","1,870","1,829","2,088","1,999","1,899","1,010","974,571"
LO,6977,HKCr,Hackney Central,Station entry / exit,Gateline,"7,464","8,554","7,945","4,798","7,385","8,648","8,216","4,901","3,873,150"
LO,6867,HACr,Hackney Downs,LO boarding / alighting,Scaled,"4,173","4,042","4,439","2,331","4,361","4,459","4,547","2,341","2,128,124"
LO,6978,HKWr,Hackney Wick,Station entry / exit,Scaled,"4,158","4,229","4,156","2,447","3,755","4,284","4,476","2,578","2,034,502"
LO,1022,HGGr,Haggerston,Station entry / exit,Issue,"3,426","3,834","3,747","2,385","3,458","4,041","4,108","2,375","1,815,479"
LO,1413,HDHr,Hampstead Heath,Station entry / exit,Gateline,"4,720","4,578","3,710","3,017","4,506","4,401","3,718","3,093","2,246,249"
LO,596,HARu,Harlesden,LO boarding / alighting,Scaled,"1,774","1,733","1,325",620,"1,556","1,520",961,938,"771,702"
LO,7401,HRYr,Harringay Green Lanes,Station entry / exit,Scaled,"1,827","1,750","1,926","1,241","2,045","1,997","1,967","1,466","976,641"
LO,597,HAWu,Harrow & Wealdstone,LO boarding / alighting,Scaled,"3,221","3,171","2,971","2,353","4,040","3,982","3,187","3,046","1,805,246"
